"","date","133715PC050500AGe","133715PC050500FGe","133715PC051000AGe","133715PC051000FGe","144934PC031000AGe","144934PC050500AGe","144934PC051000AGe","17010105PC050500AIS","17010105PC050500JIS","17010105PC051000AIS","17010105PC070200AIS","17010105PC070250AIS","17010105PT070200AIS","17010105PT070330AIS","17010702PC050500AIS","17010702PC051000AIS","17010702PC070200AIS","17010702PC070350AIS","17011901PC070200AIS","17011901PC070250AIS","17011901PC070300AIS","17011901PC081000AIS","17011901PT080500PIS","17011901PT081000AIS","17011901PT081000PIS","17013059PC050500AIS","17013059PC051000AIS","17013228PC081000AIS","17013228PT080500AIS","17013228PT081000AIS","17113015PC042000JIS","17113015PC091500JIS","17120706PC030500ANo","17120706PC031000ANo","17120706PT070200ANo","17120706PT070250ANo","17121201PC030500ANo","17121201PC031000ANo","17121201PC060500ANo","17121201PC070200ANo","17121201PC070200FNo","17121201PC070250ANo","17121201PC080500ANo","17121201PC081000ANo","17121201PT070200ANo","17121201PT070250ANo","17121201PT070330ANo","17121201PT080500ANo","17121201PT081000ANo","17121201PT081000PNo","17123003PC030500ANo","17123003PC031000ANo","17123092PC030500ANo","17123117PC031000JNo","17123117PC042000JNo","17123117PT021000JNo","17133005PC021000JIS","17133005PT020500JIS","17133005PT020750JIS","17133005PT021000JIS","17163181PC060250FIS","17163181PC060375FIS","17163181PC060375JIS","17163181PC060500FIS","17173060PC030500AIS","17173060PC031000AIS","17181313PC051000AIS","17181313PC060200AIS","17181313PC060250AIS","17181313PC060350AIS","17181313PC060500AIS","17181313PC080500AIS","17181313PC081000AIS","17183005PC042000JIS","17183005PC070250JIS","17183015PC051000NIS","17201607PC030500AIS","17201607PC031000AIS","17201607PC070200AIS","17201607PC070250AIS","17201607PC070330AIS","17223006PC080500AIS","17223006PC081000AIS","17223006PC081000JIS","17223006PC081000PIS","17223006PT081000JIS","172582PC010200AGe","172582PC010250AGe","172582PC031000AGe","172582PC060350AGe","172582PC060500AGe","172582PC060500FGe","172582PC070200AGe","172582PT070200AGe","172582PT070200FGe","172582PT070350AGe","172791PC031000AGe","172791PC070200AGe","172791PC070250AGe","172791PT070200AGe","172791PT070200FGe","172791PT081000AGe","17320105PC031000JIS","17320105PC070330JIS","217974PC081000AGe","217974PC081000JGe","217974PT081000AGe","218037PC091500JGe","219407PM100500WGe","219407PM101000JGe","219407PM101000WGe","222122PC042000JGe","223707PC020500JGe","223707PC021000JGe","224181PC030500AIS","224181PC031000AIS","36867PC030500AGe","36867PC031000AGe","37238PC070200FGe","37238PC070250FGe","37238PC070300FGe","37238PC070350FGe","37403PC030500AGe","37403PC031000AGe","37403PC060350AGe","37403PC060500AGe","45245PC020750JGe","45245PC021000JGe","45245PC091500JGe","45245PT021000JGe","45245PT091500JGe","48074PC031000AGe","48074PC051000AGe","48074PC051000FGe"
"11",201411,563.2,326.4,1632.64,34.56,3727.2,978.56,153.6,0,0,0,0,0,0,0,279.04,5039.36,0,0,0,0,0,0,0,579.04,2299.2,0,2630.72,2098.32,0,0,197.5,1316.4,1698.9,545.1,994.13,723,210,11935.2,1381.68,492,0,5451.38,0,0,0,502.88,143.63,2139.2,0,0,1287.9,8372.1,0,2181.6,2141.25,2396.1,0,84,0,501.3,0,0,0,0,112.8,2397.6,8787.84,-31.13,780.75,660,128.16,213.64,438.2,0,1166.25,156.8,0,1400.1,0,0,0,0,961.52,0,307.5,0,0,0,12822.9,14077.88,10541.52,613.44,22344.75,6878.63,4460.25,522.75,12008.7,5340.75,2156.63,632.63,233.25,3223.92,0,0,0,0,0,4127.76,0,1911.84,0,47.75,695.4,2532.6,0,5048.1,0,3106.2,3846.42,5774.56,2596.92,141.44,0,10406.1,17917.13,3960.72,102.9,2728.2,339.84,236.7,820.56,2409,3266.88,40.32
"12",201412,0,222.72,4836.48,181.44,4771.8,1799.04,205.76,0,0,0,0,0,0,0,1630.4,6140.16,459.75,0,0,1837.13,507.75,442.12,0,1029.28,2519.4,0,4768.96,3601.08,0,0,423.5,2456.88,3765.6,405,873.38,916.88,414.6,15010.8,1963.8,0,0,7017,0,0,0,0,0,1463.28,0,364.2,467.7,8296.2,0,2320.5,4782.75,5334.9,0,0,0,72,0,0,0,0,0,2475,8414.72,0,1146.38,649.88,443.52,291.2,674.24,0,242.25,0,0,1573.5,477.75,75.38,0,221.48,2168.6,0,304.8,0,0,0,14457.6,15610.13,13368.24,410.04,21544.13,6126.38,2782.13,591.75,13452.9,4878,944.63,1509.75,243,3865.96,564.3,1070.25,0,0,0,1891.44,0,621.6,0,417.25,324.9,1278,0,6491.1,0,4199.7,2667.3,5013.3,1768.34,513.06,1558.8,14852.4,25467,3801.6,15,2430.6,536.88,402.3,1324.8,1845.3,4408.64,115.2
"13",201501,92.16,799.68,4170.88,222.72,2652,461.76,17.28,0,0,0,0,0,0,0,1635.52,4819.52,1169.63,170.63,0,0,323.63,164.36,0,113.68,2580,0,4280.96,338.8,0,0,0,2804.64,1461.9,699,0,0,298.5,10084.2,633.6,0,0,6606.75,0,0,0,0,343.5,1872.92,144.2,450,402,11494.2,412.5,654.6,498.25,186.9,0,0,0,979.2,0,0,0,0,0,3113.7,9880,394.88,601.88,1206,0,299.04,1358.28,0,0,0,0,2081.1,696.38,205.13,0,0,1634.64,0,150,0,0,0,15268.5,12105.75,8973.72,820.44,18532.5,3689.25,3162.38,642.38,9702,3678,481.5,475.5,288.38,4120.48,0,0,0,0,0,3389.76,0,1071,0,333.25,497.4,2668.2,0,1978.5,0,3726.6,2408.9,5433.2,830.62,0,203.7,9199.2,10695.38,5070.96,142.5,2706.9,832.8,264.6,1115.04,3073.5,3923.2,77.44
"14",201502,0,266.24,3254.72,506.88,4800.6,1004.48,34.56,0,0,0,0,0,0,0,1010.24,5952,689.25,0,19.5,908.25,540,73.92,0,332.36,2049.6,0,5368.64,1637.16,0,0,94.25,841.2,2806.5,429.9,2345.25,1357.5,429.6,10960.2,2419.92,0,0,6345.75,0,0,0,807,377.63,3255,0,2042.4,1924.8,4067.7,683.1,2241.9,1479.69,783.9,0,0,0,547.2,0,164.56,0,0,0,1863.6,7290.88,0,396,330,-4.26,113.4,1402.8,192.75,452.25,0,181.8,1264.2,0,453,0,0,1842.4,675.08,0,0,0,0,13805.7,12523.13,8744.4,384.84,18237,4856.25,1956,494.25,10329,2349.75,643.5,697.13,0,3231.76,566.1,0,0,0,0,1519.92,0,523.6,0,127,0,2474.4,0,4130.7,0,2602.8,2907,6573.56,1829.88,70.72,-23.7,10512.6,14763,5087.16,18,2754.3,535.68,437.4,1463.04,2453.4,1900.16,77.76
"15",201503,185.92,392,5210.24,672,4217.4,1564.16,104.96,0,0,0,471,0,0,0,1394.24,5477.44,0,0,0,0,0,150.36,0,723.24,3040.5,178.88,6328,1211,126,906.64,143.26,1411.92,1344,260.7,877.5,975.75,0,7402.2,0,0,0,0,0,0,0,0,0,870.24,0,0,1321.2,10697.1,0,2525.4,2564.02,1063.2,0,0,0,0,0,0,0,0,48.6,2462.34,7343.04,53.63,1750.13,885,0,481.04,1242.64,98.28,900.75,0,294.9,1243.2,0,231,0,225.12,1324.68,0,375,0,0,0,16925.1,15914.63,9412.92,851.3,23624.25,5237.63,1797.75,312,11490,3976.13,1437.75,1077.38,190.13,5093.2,487.8,896.63,0,0,0,1428.96,0,1977.36,0,442.71,544.8,4051.5,0,4992.9,0,3689.4,2241.96,8523.12,779.96,0,1555.2,15097.2,18465.75,4924.44,36,3096,48,150,1122.72,2483.1,2652.8,0
"16",201504,0,622.4,4006.08,777.92,3188.4,727.68,74.24,0,0,0,4017,0,0,0,1216,9087.68,2840.25,352.88,0,478.13,0,0,156.8,702.52,2124,0,6906.56,1910.72,316.68,700.56,524.42,2308.08,2505.6,1106.7,0,0,145.8,8204.4,380.16,0,0,473.63,0,0,472.5,0,353.25,1513.68,0,0,449.4,12090,0,2426.1,1944.8,1069.2,0,0,0,599.4,0,0,0,293.42,48.6,1820.4,7400,342,589.88,603.38,452.52,242.76,1415.12,0,949.88,0,0,1254,0,0,0,0,0,0,0,0,0,0,15580.8,13138.5,7526.52,302.04,17156.63,3782.25,2957.25,468,9646.5,4932.75,921,1055.63,235.13,2585.26,582.9,0,0,0,0,4808.16,0,705.32,0,522.6,81,3361.2,0,2986.8,0,3157.5,3510.84,7599.34,809.54,773.16,475.5,13842.6,15309.38,4861.8,192.9,2552.7,665.52,347.7,1401.12,2413.2,3990.08,0
"17",201505,463.36,0,4867.84,570.88,4193.4,1110.72,51.84,0,0,0,630.38,0,0,0,1166.08,4456,483.38,0,0,0,0,223.16,120.4,665,2263.2,0,6673.6,922.6,217.56,265.44,245.18,702,1569,114.9,1741.88,0,72.6,3835.5,171,0,0,0,0,0,472.13,103.88,0,1295.56,0,0,821.7,8653.5,607.5,1728,2737.8,923.7,0,111.6,0,468.9,0,301.92,0,0,114,2382.9,7284.48,0,186.75,865.5,454.68,449.68,1487.92,0,0,0,0,2047.2,474,0,177,0,2341.92,411.32,299.6,0,0,0,13499.4,11640.38,8778.24,768.24,14532.38,4846.13,2380.88,521.25,8514.6,1558.5,107.25,253.5,0,3874.92,0,1427.63,0,0,0,3401.28,0,1163.12,0,297.96,462.3,2251.2,0,3459,0,3655.2,3180.02,4833.78,273.02,212.16,688.5,12425.4,15988.13,5134.68,0,1840.5,677.52,482.1,1263.6,1852.2,3296,0
"18",201506,814.72,640.32,4702.72,120.64,2966.7,1526.4,103.68,0,0,0,0,0,0,0,931.2,5976.96,481.88,0,949.5,930,0,151.48,67.2,678.44,1971,0,4853.76,2999.08,0,226.24,0,828.96,1935.3,409.2,1691.25,1670.63,0,2427,0,0,0,0,0,0,0,0,353.63,1513.68,0,0,757.8,11173.5,630.9,1809.6,2278.9,1565.1,0,0,0,993,0,719.44,133.96,4252.72,0,3120.6,6755.52,0,596.25,1098.38,55.44,0,1519.56,146.9,696,0,0,2457.3,0,0,0,222.6,1344,111.44,209.72,0,0,0,17860.2,13191.38,7738.2,617.04,22309.88,3976.5,2527.88,176.63,10822.2,3600.38,466.88,593.63,126.75,3210.76,580.8,0,0,0,0,859.68,0,701.68,0,234.26,0,2461.5,0,4925.1,0,3164.7,3677.1,4071.16,172.38,278.46,198,12768,17353.13,6069.6,81.9,2839.2,424.32,480.6,2139.12,2437.5,3182.4,60.48
"19",201507,1448.64,249.28,5074.88,165.44,4260.6,1022.4,122.56,0,0,0,4650.75,0,0,0,643.84,6595.2,1666.5,0,0,0,353.25,0,138.04,381.64,1917.6,0,7326.08,1844.36,339.64,526.68,237.9,2278.08,2687.1,525.6,1170,693.38,194.4,3501,458.28,0,0,0,0,0,487.5,0,43.88,2004.52,0,180,762.6,15522.6,0,2459.7,1846.78,1287.3,0,0,0,586.2,0,0,0,0,72.9,1821.9,8536.64,194.25,490.88,1888.5,787.68,210.56,656.32,47.58,926.63,313.92,0,2280.3,0,0,0,0,1554,0,235.2,0,0,0,17225.7,13404.75,9352.44,729,12330,1934.25,3840.75,929.63,9678,4650.75,1517.25,1042.88,349.5,3888.08,579.3,0,0,0,0,3201.36,0,1338.96,0,564.72,540,2171.7,0,3976.2,0,3121.2,3345.26,6348.48,0,170.68,1466.1,12276.6,15602.63,6367.68,94.8,3223.5,413.52,500.1,1961.76,3034.2,3824.32,6.4
"20",201508,874.56,15.36,3918.72,120,4175.7,848,69.12,0,0,0,1628.25,0,0,0,432.32,4303.36,478.13,349.5,0,0,0,142.8,201.6,442.4,2603.1,0,3745.92,1102.64,0,0,45.5,1191.36,1762.2,2.1,2141.25,1410.38,486.9,6951,0,0,242.25,0,0,0,0,0,0,1358.56,0,230.4,443.1,8926.2,596.7,2706.3,1254.76,2265.9,0,0,0,562.2,399.84,822.8,0,152.32,24.3,1838.7,8012.8,0,468.38,181.5,279.72,280.84,1562.4,239.98,943.5,0,0,1415.4,482.25,0,0,0,928.48,521.08,146.16,0,0,0,13621.8,10544.25,9413.28,373.32,15040.5,2392.88,3685.13,297,9045,1274.63,360.75,303,0,3862.6,584.4,1384.88,0,0,0,3662.16,110.6,1425.76,0,0,108,1968,0,2986.5,0,3148.8,839.46,1983.56,0,0,1625.7,11006.4,15717.75,5565.24,0,2487.9,357.6,407.7,1541.28,2455.5,3321.6,0
