date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
907664PC042000J,660.14,900.64,1872.9099999999999,2038.6599999999999,2447.9,2422.81,2626.6499999999996,2630.42,2327.13,1694.42,1670.8899999999999,2677.09
908244PC060200A,0,0,0,0,0,0,0,0,0,0,0,0
908244PC060250A,824.4399999999998,692.0649999999998,-5.684341886080802e-14,316.31499999999994,791.0649999999999,474.74999999999994,371.06499999999994,655.1299999999999,364.87999999999994,301.50499999999994,498.93999999999994,278.24999999999994
908244PC060500A,217.98,128.88,-7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15,74.16,74.16,142.56,143.46,0.8999999999999929,-7.105427357601002e-15
908244PC081000A,0,0,0,0,0,0,0,0,0,0,0,0
908244PT080500A,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,52.34999999999999,211.35,159,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,57.149999999999984,57.149999999999984
908244PT080500P,0,0,0,0,56.4,56.4,0,0,0,0,0,0
908244PT080750A,0,0,0,0,0,0,0,0,0,0,0,0
908244PT080750P,0,0,0,0,0,0,15.45,15.45,0,0,0,0
908244PT081000A,139.79999999999998,187.64999999999998,47.84999999999997,56.24999999999997,431.1,374.85,44.99999999999997,182.24999999999997,137.24999999999997,-2.842170943040401e-14,142.49999999999997,142.49999999999997
908244PT081000P,1060.0500000000002,628.6500000000001,231.75000000000017,1.7053025658242404e-13,1080.4500000000003,1080.4500000000003,163.20000000000022,1526.7000000000003,2433.6,1070.1000000000001,559.2000000000003,1218.3000000000002
908616PC031000A,9235.65,11625.449999999999,10819.8,9519.3,11375.699999999999,10804.05,9513.45,9253.5,7895.549999999999,8061.15,9823.35,11450.82
908616PC051000A,-3.410605131648481e-13,-3.410605131648481e-13,-3.410605131648481e-13,-3.410605131648481e-13,-3.410605131648481e-13,-3.410605131648481e-13,-3.410605131648481e-13,-3.410605131648481e-13,-3.410605131648481e-13,-3.410605131648481e-13,-3.410605131648481e-13,-3.410605131648481e-13
909702PC051000A,0,0,0,0,0,0,0,0,0,0,0,0
909702PC051000J,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14
909702PC081000A,0,75.45,75.45,34.05,72.15,38.1,0,77.4,77.4,0,0,37.5
909702PC081000J,170.10000000000002,427.8,257.70000000000005,154.05000000000004,305.1,250.05000000000004,98.85000000000002,92.55000000000003,92.70000000000003,2.273181642920008e-14,2.273181642920008e-14,184.50000000000003
909702PT021000J,-2.1316282072803006e-14,-2.1316282072803006e-14,-2.1316282072803006e-14,-2.1316282072803006e-14,-2.1316282072803006e-14,-2.1316282072803006e-14,-2.1316282072803006e-14,-2.1316282072803006e-14,-2.1316282072803006e-14,-2.1316282072803006e-14,-2.1316282072803006e-14,-2.1316282072803006e-14
915306PC051000A,828.16,828.16,0,1140,1140,0,835.8399999999999,1087.1999999999998,1058.8799999999999,807.52,278.55999999999995,278.55999999999995
915306PC060250A,2128.5,3248.25,1821.9399999999998,1846.6899999999998,2908.6899999999996,1368.1899999999998,996.1899999999997,1429.3149999999996,433.1249999999998,897.9399999999997,2365.6899999999996,5188.125
915306PC060500A,329.22,843.48,567.72,376.91999999999996,376.91999999999996,7.105427357601002e-15,7.105427357601002e-15,256.32,256.32,263.88,407.34,605.7
915306PC070150A,321.75,253.5,0,204.75,204.75,0,122.625,355.69,233.065,0,103.125,214.5
915306PC070250A,589.69,774.755,358.69,798.1899999999999,798.1899999999999,0,301.315,637.13,335.815,0,292.5,606
920814PC060200F,104.72,160.14,81.6,130.9,261.8,130.9,66.47,171.19,183.26,167.96,194.14,130.89999999999998
920814PC060350F,1234.3700000000001,852.04,1004.06,907.8399999999999,721.6500000000001,1133.05,1333.48,1187.45,1050.26,792.0300000000001,810.9000000000001,728.96
920814PC060375F,562.87,433.33000000000004,717.4000000000001,792.2,756.67,843.54,909.6700000000001,673.2,205.70000000000005,74.80000000000005,242.76000000000005,245.48000000000008
920814PC060400F,0,0,0,0,0,0,0,0,0,0,0,0
920814PE060200F,0,0,0,0,0,0,0,0,0,0,0,0
920814PE060350F,0,0,0,0,0,0,0,0,0,0,0,0
920814PE060375F,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
922361PC051000F,3674.1,3026.25,1667.0999999999997,946.0499999999997,1190.3999999999996,2529.2999999999997,4092.8999999999996,4534.3499999999995,4667.8499999999995,4283.4,4330.8,3314.1
922361PC060300F,2642.31,2170.39,1316.1399999999999,1460.1299999999997,1627.2399999999998,1117.58,918.8499999999998,1017.1099999999999,974.0999999999999,1524.8999999999999,1789.2499999999998,1117.9199999999998
922361PC060375F,95.03,112.71000000000001,165.07000000000002,132.77,192.61,151.13,78.88,136.17000000000002,170.17000000000002,218.45,206.21,100.64000000000001
922361PC060400F,77.35,74.29,74.29,26.18,26.18,39.27,39.27,0,39.27,52.36,41.14,41.14
922361PC060500F,1948.0299999999997,1895.3299999999997,1373.9399999999998,1056.8899999999999,912.7299999999998,893.0099999999998,525.9799999999998,197.7099999999998,-1.7053025658242404e-13,-1.7053025658242404e-13,-1.7053025658242404e-13,-1.7053025658242404e-13
922361PC070250F,2804.15,2566.32,2447.8300000000004,3200.59,3250.9100000000003,1923.0400000000002,461.5500000000001,384.3700000000001,534.3100000000001,1137.98,1537.3100000000002,1273.9800000000002
922361PC070300F,1090.38,1343.3400000000001,1421.88,1336.88,518.3300000000002,61.88000000000014,123.76000000000013,123.76000000000013,72.76000000000013,253.81000000000014,407.32000000000016,526.6600000000002
922361PE060300F,0,0,0,0,29.919999999999998,425.34,1027.31,1260.04,1008.78,1441.77,1639.4799999999998,1039.72
922361PE060500F,0,0,0,0,97.07,408.17,1361.19,2545.58,2681.92,2001.58,1652.2299999999998,1486.9899999999998
922711PC060200J,0,0,0,0,0,0,0,0,0,0,0,0
922711PC060500N,0,0,0,0,0,0,0,0,0,0,0,0
922975PC050750F,0,0,0,0,0,0,0,0,0,0,0,0
922975PC051000A,0,0,0,0,0,0,0,0,0,0,0,0
922975PC051000F,5637.6,3773.7000000000003,2433.6000000000004,2156.4,1347.6000000000001,1926.9,3385.65,4912.5,6115.35,6964.2,8039.0999999999995,7051.65
922975PC070250F,421.26000000000005,193.80000000000007,282.71000000000004,353.26000000000005,158.95000000000005,243.10000000000005,386.24,231.54000000000005,140.08000000000007,356.32000000000005,275.91,190.40000000000003
922975PC070300F,912.5600000000001,529.21000000000015,1867.6200000000001,3669.96,3711.1000000000004,3488.23,4342.14,3163.8700000000003,5361.12,8255.03,7210.21,7151.5599999999995
922975PC070350F,5729,3365.4900000000002,1040.0600000000004,68.17000000000039,3.801403636316536e-13,104.04000000000039,104.04000000000039,38.08000000000038,138.0400000000004,337.45000000000033,307.70000000000033,128.3500000000004
922975PC080500F,0,0,0,0,0,0,0,0,0,0,0,0
922975PC080750F,0,0,0,0,0,0,0,0,0,0,0,0
923313PC020500J,0,0,0,0,0,0,0,0,0,0,0,0
923313PC021000J,0,0,0,0,0,0,0,0,0,0,0,0
923313PC041500J,93.875,82.75,117.75,131.5,120.5,116.5,136.325,135.59,91.91,90.09,124.41,80.34
923313PC042000J,255.70999999999998,324.74,343.72,210.21,295.62,453.96000000000004,552.89,543.79,322.14,284.05,377,270.01
923313PC060300F,292.5699999999999,389.46999999999986,291.20999999999987,97.91999999999987,-1.2789769243681803e-13,-1.2789769243681803e-13,-1.2789769243681803e-13,-1.2789769243681803e-13,-1.2789769243681803e-13,181.38999999999987,359.8899999999999,269.4499999999999
923313PC060500F,89.93,221.68,219.64000000000001,292.91,218.96,-1.019999999999989,1.1102230246251565e-14,220.49,220.49,149.09,351.90000000000003,202.81
923313PC060500J,0,0,0,0,0,0,0,0,0,0,0,0
923313PC070200J,0,0,0,0,0,0,0,233.065,233.065,0,0,0
923313PC070250J,716.25,360.19,598.13,648.38,681.94,892.69,797.065,528.565,341.63,453.19,221.625,228.565
923313PC070330J,978.0049999999999,718.3149999999999,412.875,649.315,735.19,754.125,937.875,764.25,476.815,493.88,596.44,478.125
923313PE060250F,95.54000000000002,104.89000000000001,183.43,187,174.59000000000003,195.33,218.11,96.56000000000002,1.4210854715202004e-14,191.25,339.66,148.41000000000003
923313PE060300F,1196.2900000000002,1300.16,894.5400000000001,922.4200000000001,991.1,979.71,483.48000000000013,297.16000000000014,375.02000000000015,926.8400000000001,1095.4800000000002,521.5600000000003
923313PE060350F,0,69.7,139.06,69.36,37.4,73.78,36.38,0,0,0,73.78,73.78
923313PE060500F,72.75999999999999,146.2,73.44,59.839999999999996,98.6,145.18,180.88,74.45999999999998,74.28999999999999,219.47,145.18,-7.105427357601002e-15
923313PT020500A,0,0,0,0,0,0,0,0,0,0,0,0
923313PT020500J,0,0,0,0,0,0,0,0,0,0,0,0
923313PT021000J,507.1500000000001,646.6500000000001,572.2500000000001,703.2,594.9000000000001,554.2500000000001,942.0000000000001,928.9500000000002,667.3500000000001,398.10000000000014,397.20000000000016,515.7000000000002
923313PT070250J,117.565,117.565,0,113.625,153.19,112.69,192.375,119.25,0,121.315,121.315,0
923313PT070330J,0,87.375,131.25,88.69,44.815,84,84,0,84.375,84.375,19.875,57.75
923608PC060250F,4232.49,5015.8499999999995,5039.3099999999995,4383.79,5070.419999999999,5978.9,5189.76,5652.67,5018.91,4364.92,5088.78,5088.61
923896PC042000J,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14
923896PC060350J,0,0,0,0,0,0,0,0,0,0,0,0
923896PC060500J,0,0,0,0,0,0,0,0,0,0,0,0
924267PC010200A,2400.165,840.4199999999998,1499.37,1285.125,1178.1749999999997,1949.5949999999998,2072.0699999999997,2406.0299999999997,2188.68,2415.345,3086.715,3323.73
924267PC010250A,0,0,0,0,0,0,0,0,0,0,0,0
924267PC010250J,0,0,0,0,0,0,0,0,0,0,0,0
924267PC031000A,10283.55,2431.2,5686.35,9003.9,11741.25,11198.099999999999,9919.869999999999,9718.09,9937.01,11611.039999999999,13052.15,19202.46
924267PC031000J,0,0,0,0,0,0,0,0,0,0,0,0
924267PC042000A,218.01,50.18000000000001,146.12,144.04000000000002,231.40000000000003,287.95000000000005,187.33,191.23000000000002,321.49,333.71,229.15,230.71
924267PC051000A,2230.27,127.54999999999973,680.4799999999997,1456.7999999999997,2191.8399999999997,1837.7599999999998,1222.8799999999997,1853.7599999999998,1866.56,1144.3199999999997,1316.6399999999999,1793.4399999999998
924267PC070200A,0,0,0,0,0,0,0,0,0,0,0,0
924267PC080500A,504.29999999999984,108.14999999999988,371.2499999999999,683.0999999999999,561.7499999999999,643.7999999999998,589.1999999999999,478.7999999999999,745.4999999999999,922.3499999999999,779.0999999999999,905.5499999999998
924267PC081000A,1051.6499999999999,273.45,465.29999999999995,1026.6,1453.6499999999999,1416.8999999999999,1715.1,1891.65,1408.35,1493.25,2229.75,3622.65
924267PC091500A,3278.375,103.62499999999989,132.8749999999999,316.6249999999999,1957.625,3151.875,2699,2794,2874.5,2581.25,2490.25,3033
924267PT080500A,0,0,0,0,0,0,0,0,0,0,0,0
924267PT081000A,0,0,0,0,0,0,0,0,0,0,0,0
924454PC030500F,346.65,495.74999999999994,386.4,237.29999999999998,-2.842170943040401e-14,186.74999999999997,186.74999999999997,1202.85,1225.1999999999998,211.05,480.59999999999997,291.9
924454PC030750F,256.04999999999995,144.29999999999998,-3.552713678800501e-14,-3.552713678800501e-14,-3.552713678800501e-14,-3.552713678800501e-14,603.15,603.15,-3.552713678800501e-14,180.29999999999998,194.7,14.399999999999965
924454PC031000F,0,0,0,0,0,0,0,0,0,0,0,0
924454PC031000J,-1.8474111129762605e-13,82.79999999999981,159.44999999999982,76.64999999999982,155.54999999999984,443.09999999999985,727.1999999999998,439.6499999999998,-1.8474111129762605e-13,-1.8474111129762605e-13,-1.8474111129762605e-13,-1.8474111129762605e-13
924454PC041000F,0,0,0,0,0,0,0,0,0,0,0,0
924454PC041500F,179,157.75,3.875,49.75,47.125,25,43.375,19.625,0,0,47,164.125
924454PC042000F,23.884999999999987,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,13.224999999999985,13.224999999999985,203.19,518.06,431.135,116.26499999999999,-8.881784197001252e-15,-8.881784197001252e-15
924454PC050500F,0,0,0,0,0,0,0,0,0,0,0,0
924454PC050750F,182.10000000000014,533.4000000000002,351.3000000000002,1.5631940186722204e-13,1.5631940186722204e-13,19.650000000000155,1530,2554.35,1044,6.394884621840902e-14,6.394884621840902e-14,44.850000000000065
924454PC051000F,334.65000000000003,262.5,28.35,0,0,501,501,276.6,923.25,1182.3,1389.9,867.75
924454PC051000J,0,0,0,0,0,0,0,0,0,0,0,0
924454PC060250A,0,0,0,0,0,0,0,0,0,0,0,0
924454PC060250F,195.16000000000003,398.14,202.98000000000002,177.99,202.3,73.61000000000001,830.7900000000001,781.4900000000001,6.7390537594747e-14,195.84000000000006,195.84000000000006,402.90000000000003
924454PC060300F,-4.973799150320701e-14,-4.973799150320701e-14,-4.973799150320701e-14,-4.973799150320701e-14,-4.973799150320701e-14,98.08999999999995,98.08999999999995,534.3099999999998,534.3099999999998,-7.815970093361102e-14,-7.815970093361102e-14,23.629999999999924
924454PC060375F,1503.48,1120.81,1182.18,1090.38,2552.04,3213,1756.1000000000001,800.0200000000001,591.6000000000001,1179.2900000000002,1727.2,1196.63
924454PC060400F,5.684341886080802e-14,5.684341886080802e-14,212.16000000000005,212.16000000000005,5.684341886080802e-14,5.684341886080802e-14,2372.52,7809.120000000001,6793.540000000001,1356.94,5.684341886080802e-14,5.684341886080802e-14
924454PC060500F,1377.8500000000001,1138.66,864.2800000000002,149.2600000000002,519.8600000000001,549.9500000000002,1933.5800000000004,2979.76,3236.46,2157.98,145.86000000000024,74.12000000000023
924454PC081000F,0,0,0,0,0,0,0,0,0,0,0,0
924454PE060300F,596.5299999999999,-7.105427357601002e-14,393.2099999999999,393.2099999999999,198.38999999999993,648.3799999999999,449.98999999999995,1602.42,1602.42,-7.105427357601002e-14,530.7399999999999,575.6199999999999
924454PE060375F,0,0,0,0,0,0,0,0,0,0,0,0
924454PE060400F,37.56999999999998,-2.042810365310288e-14,-2.042810365310288e-14,-2.042810365310288e-14,587.86,1546.1499999999999,1105.34,746.4699999999999,1043.12,1475.94,1032.24,51.67999999999993
924454PE060500F,-2.7533531010703882e-14,-2.7533531010703882e-14,-2.7533531010703882e-14,-2.7533531010703882e-14,-2.7533531010703882e-14,1030.8799999999999,1155.6599999999999,345.27,913.39,2930.78,3195.15,1221.1100000000001
924454PT080500F,0,0,0,0,0,0,0,0,0,0,0,0
924454PT080750J,0,0,0,0,0,0,0,0,0,0,0,0
924454PT081000J,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14
924597PC050500F,0,0,46.72,46.72,0,0,0,0,0,0,0,0
924597PC051000A,312.15999999999997,192.47999999999996,340.8,416.32,233.92,237.27999999999997,155.67999999999998,193.76,350.4,233.43999999999997,76.63999999999996,193.27999999999997
924597PC051000F,77.44000000000003,77.92000000000002,155.52,116.48000000000002,78.4,117.28000000000002,38.88000000000001,39.36000000000001,116.16,76.80000000000001,34.88000000000001,34.88000000000001
924597PC051000J,0,0,36.16,72.8,36.64,0,39.52,39.52,0,0,0,0
924716PC091500J,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14
925857PC050500A,0,0,0,0,0,0,0,0,0,0,0,0
925857PC051000A,1562.08,2186.3999999999996,1572.3199999999997,1552.4799999999998,2047.52,2063.04,1571.1999999999998,1255.1999999999998,1241.7599999999998,1210.56,1197.12,1847.3599999999997
925857PC051000J,0,0,0,0,0,0,0,0,0,76.96,76.96,0
926866PC060200A,0,0,0,0,0,0,0,0,0,0,0,0
926866PC060200F,-2.842170943040401e-14,97.47499999999997,97.47499999999997,-2.842170943040401e-14,-2.842170943040401e-14,85.04999999999997,278.97499999999997,193.92499999999998,195.12499999999997,195.12499999999997,190.39999999999998,190.39999999999998
926866PC060500F,3.1086244689504383e-15,3.1086244689504383e-15,3.1086244689504383e-15,3.1086244689504383e-15,3.1086244689504383e-15,73.44000000000001,73.44000000000001,3.1086244689504383e-15,286.28,286.28,3.1086244689504383e-15,145.01
927272PC010150J,0,0,0,0,0,0,0,0,0,0,0,0
927272PC010180J,0,0,0,0,0,0,0,0,0,0,0,0
927272PC010200J,0,0,0,0,0,0,0,0,0,0,0,0
927272PC031000J,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14
927272PC031000N,0,0,0,0,0,0,0,0,0,0,0,0
927272PC091500J,31.249999999999986,89.12499999999999,144.25,114.49999999999999,287.25,395.5,282.125,350.25,296,441.75,435.125,113.62499999999999
928488PC031000A,15711.75,14326.8,15607.35,14723.85,12358.95,13227.45,12622.8,12121.95,13512.38,14395.279999999999,15907.05,16964.4
928488PC031000F,0,0,0,0,0,0,0,0,0,0,0,0
928488PC051000A,21475.84,16618.72,17014.88,18778.239999999998,19766.239999999998,16582.559999999998,12928.8,16326.72,19497.6,19480.32,17007.04,16786.559999999998
928488PC051000F,204.29999999999995,197.39999999999998,357.9,247.19999999999996,271.19999999999993,252.89999999999998,230.39999999999998,291.74999999999994,263.24999999999994,313.04999999999995,405.59999999999997,347.25
