Link (Cust + PH),Country,ABC-XYZ,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
144934PC050500A,Germany,B-X,"1,026.88",839.68,"1,558.72","1,471.04",685.12,"1,497.92","1,136.00","1,089.92",925.44,"1,175.04",978.56,"1,799.04",461.76,"1,004.48","1,564.16",727.68,"1,110.72","1,526.40","1,022.40",848,"1,353.60","1,142.08","1,050.56","1,033.28","1,032.32","1,162.88","1,204.80",869.76,914.88,746.56,"1,120.64","1,252.80",985.92,"1,132.16","1,160.32",770.24,"1,455.36",937.28,566.4,"1,312.64",953.6,865.92,944.32,937.6,"1,134.72","1,543.36","1,017.60",850.24
144934PC051000A,Germany,C-Y,0,233.6,0,120.96,95.36,165.12,86.4,109.76,135.68,78.08,153.6,205.76,17.28,34.56,104.96,74.24,51.84,103.68,122.56,69.12,86.4,268.8,415.04,138.24,270.08,338.88,345.6,573.44,360.96,923.2,676.8,719.04,749.44,"1,022.08",478.72,69.44,293.76,362.88,311.04,589.12,468.48,334.72,18.88,55.04,120.96,412.16,273.28,136.32
17010105PC050500A,ISEEI,C-Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.04,568.96,233.6,318.4,0,891.84,19.84,0,0,548.16,555.2,279.36,0,0,756.48,308.8,0,570.24,57.6,277.44,0,"1,471.04",0,0
17010105PC050500J,ISEEI,C-Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.6,548.8,839.68,0,274.56,635.52,0,0,"1,115.52",0,280.32,"1,136.00",279.68,0,278.08,0,280.32,0,284.8,0,852.16,0,"1,684.48",0,0
17010105PC051000A,ISEEI,C-Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940.16,493.44,246.08,0,"5,443.20",322.24,"1,086.08","1,248.64",632,553.28,0,707.2,"1,249.92",891.2,0,270.08,79.04,475.52,0,660.48,237.76,157.12,548.8,225.6,0,0
17010105PC070200A,ISEEI,B-Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,"4,017.00",630.38,0,"4,650.75","1,628.25",937.5,"1,429.13","3,790.13","2,358.75","1,670.25","1,419.75","2,363.25","1,165.13",0,"1,667.25","3,301.50","1,582.13","1,875.75","2,686.13","1,884.38","3,078.75",501,230.25,"1,620.75",711,475.5,"2,378.63","1,441.13","6,256.88","1,658.63","1,405.13","4,226.25","2,496.00"
17010105PC070250A,ISEEI,C-Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0
17010105PC080500A,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17010105PC080500J,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17010105PC081000A,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
